year,rate
1,0.150000
2,0.100000
3,0.090000
4,0.080000
5,0.070000
6,0.034524
7,0.034094
8,0.033704
9,0.033352
10,0.033033
11,0.032744
12,0.032483
13,0.032247
14,0.032033
15,0.031839
16,0.031664
17,0.031506
18,0.031363
19,0.031233
20,0.031116
21,0.031009
22,0.030913
23,0.030826
24,0.030748
25,0.030677
26,0.030612
27,0.030554
28,0.030501
29,0.030454
30,0.030410
31,0.030371
32,0.030336
33,0.030304
34,0.030275
35,0.030249
36,0.030225
37,0.030204
38,0.030184
39,0.030167
40,0.030151
41,0.030137
42,0.030124
43,0.030112
44,0.030101
45,0.030092
46,0.030083
47,0.030075
48,0.030068
49,0.030061
50,0.030056
