policy_id,age,gender,sum_assured,premium,term,product_type,underwriting_class
1,43,1,740495.3909376827,2833.9147657251424,99,2,2
2,27,0,888218.4001051931,2288.632645761345,99,2,2
3,49,1,388657.63594597136,1417.4154508640029,30,0,1
4,51,1,488517.9791809398,1392.9924769710294,35,0,2
5,20,1,798656.7087292157,771.8545958152195,15,0,2
6,24,0,899600.8355133304,1670.6255311776056,30,0,1
7,41,1,820603.7121894847,4564.940887475334,99,1,2
8,36,1,601432.6043818638,1699.9448704020408,20,0,1
9,39,1,662881.672467736,1302.041608931981,25,0,2
10,29,0,1000000.0,4080.828746933508,99,1,2
11,50,1,458572.6179225703,1132.086943154682,10,0,2
12,49,0,685501.1594428023,4040.0129948205836,99,1,2
13,40,1,951274.1007393193,4548.678526196105,99,1,2
14,53,0,500298.14967334183,1397.808214763721,15,0,2
15,45,1,845592.4651585522,4803.677197299117,99,1,2
16,29,0,799470.7392056716,2328.129738812347,99,2,2
17,44,1,620009.8470317479,1945.3748227722301,40,0,1
18,28,0,893086.2956905216,1290.1262145167989,15,0,2
19,50,1,471734.2662240124,1182.4687231219789,40,0,2
20,39,1,657118.3234495707,1293.1691898534914,25,0,2
21,37,1,744199.3674514568,1478.1387922000304,15,0,2
22,31,1,790138.262287471,1953.6681126301914,10,0,1
23,54,1,331546.1390598767,1036.2887835810618,35,0,2
24,38,0,880676.5784208624,3186.4636947930107,99,2,2
25,34,1,830488.9412274059,1581.351497444726,20,0,2
26,35,0,814179.687514123,2917.7070078371257,99,2,2
27,46,0,483407.5349203331,1231.7519078943392,20,0,2
28,44,1,542406.5145168744,1288.4820422785763,35,0,2
29,44,0,701429.9252614107,3881.7777756017667,99,1,2
30,45,0,865185.6117930296,8426.955963997065,99,1,1
31,65,0,222438.05992529404,742.6306645352871,20,0,2
32,35,0,633078.5955708106,1042.3716187392363,25,0,2
33,33,1,583332.5702826789,1554.258737615917,20,0,1
34,30,1,739724.7977957854,1184.095554068618,20,0,2
35,47,0,578869.7465240235,1439.920656805523,35,0,2
36,53,0,450080.7244122271,1259.7834850306147,20,0,2
37,38,1,523511.94535878545,957.9586236848345,35,0,2
38,29,0,670073.352468887,1047.4259400421367,15,0,2
39,30,0,639174.8665044517,1362.4136532709729,35,0,1
40,47,0,576537.0011341497,1404.046606843711,35,0,2
